frame.time_epoch,ip.src,ip.dst,frame.len,tcp.port,udp.port,ip.proto,frame.time_delta,tcp.flags,ip.len,icmp.type,tcp.stream,tcp.seq,tcp.ack,ip.flags.df,tcp.window_size,ip.ttl,tcp.analysis.flags,http.request.uri,http.response.code,anomaly
1762618220.505957000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000000000,,68,,,,,False,,128,,,,-1
1762618220.550627000,172.17.19.207,52.182.141.63,54,58496.0,,6,0.000113000,0x0010,40,,6,3040,5160,True,64768,128,,,,-1
1762618220.551178000,172.17.19.207,52.182.141.63,78,58496.0,,6,0.000551000,0x0018,64,,6,3040,5160,True,64768,128,,,,-1
1762618220.551315000,172.17.19.207,52.182.141.63,54,58496.0,,6,0.000137000,0x0011,40,,6,3064,5160,True,64768,128,,,,-1
1762618220.706463000,172.17.21.224,239.255.255.250,213,,60086.0,17,0.119037000,,199,,,,,False,,1,,*,,-1
1762618220.706761000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.000023000,,68,,,,,False,,128,,,,-1
1762618220.706897000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000136000,,68,,,,,False,,128,,,,-1
1762618220.915319000,172.17.16.150,172.17.23.255,82,,61048.0,17,0.000870000,,68,,,,,False,,128,,,,-1
1762618220.915363000,172.17.16.150,255.255.255.255,82,,61047.0,17,0.000044000,,68,,,,,False,,128,,,,-1
1762618220.916804000,172.17.23.136,224.0.0.252,75,,51387.0,17,0.000398000,,61,,,,,False,,1,,,,-1
1762618221.120103000,172.17.17.104,224.0.0.251,110,,59177.0,17,0.000000000,,96,,,,,False,,1,,,,-1
1762618221.120103000,172.17.17.104,224.0.0.251,106,,59177.0,17,0.000000000,,92,,,,,False,,1,,,,-1
1762618221.120103000,172.17.17.104,224.0.0.251,109,,59177.0,17,0.000000000,,95,,,,,False,,1,,,,-1
1762618221.120103000,172.17.17.104,224.0.0.251,102,,59177.0,17,0.000000000,,88,,,,,False,,1,,,,-1
